"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"1",1,6,7.11e-15,13,1,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,4,0,4,0,"N","Services",1999,0.333333333333333,6
"2",1,38,3860.44,10088,1,"No","USA","Single.Location",2014,"N","X0",2941,"X0","X1","X3","X20","X0","X9","X0",391772,0,1,1,1,391772,"N","Services",1999,0.133333333333333,38
"3",5,608,805172.93,17895716,64,"No","USA","HQ",1986,"N","X0",90000,"X3","X1","X3","X20","X1","X9","X2",4915255552,403,350,4369,25,8073700000,"N","Wholesale.Trade",1999,0.0666666666666667,121.6
"4",3,32,4507.74,198452,1,"No","USA","HQ",2000,"N","X2",1000,"X0","X1","X3","X20","X1","X9","X1",1454773,3,5,20,5,1454773,"Y","Retail.Trade",1999,0.166666666666667,10.6666666666667
"6",1,2,0.7,7,1,"No","USA","Branch",NA,"N","X0",53256,"X0","X0","X0","missing","X2","X9","X1",NA,178,88,0,200,2367149000,"N","Manufacturing",1999,0.266666666666667,2
"7",5,405,474292.74,4326739,1,"No","USA","Branch",NA,"N","X0",59947,"X0","X0","X0","missing","X2","X9","X2",NA,331,110,0,277,3990487000,"N","Manufacturing",1999,0.233333333333333,81
"8",1,9,40.64,1623,44,"No","USA","HQ",1919,"Y","X1",36586,"X0","X0","X3","X20","X1","X9","X1",6.2799e+10,2331,1500,264000,1500,6.2799e+10,"Y","Manufacturing",1999,0.0666666666666667,9
"11",1,82,5757.37,77033,78,"No","USA","Branch",NA,"N","X2",55874,"X0","X0","X0","missing","X2","X9","X3",NA,169,200,0,350,691957799,"N","Manufacturing",1999,0.2,82
"13",3,146,21509.95,671875,1,"No","USA","Branch",NA,"N","X0",24181,"X0","X1","X0","missing","X2","X9","X1",NA,10927,1000,0,250,6.366e+09,"N","Retail.Trade",1999,0.166666666666667,48.6666666666667
"14",5,366,488710.13,32604529,77,"No","USA","Branch",NA,"N","X0",15482,"X0","X1","X0","missing","X2","X9","X2",NA,936,43,0,6000,5.5137e+10,"N","Transportation...Public.Utilities",1999,0.266666666666667,73.2
"15",1,8,313.65,2383,1,"No","USA","HQ",1891,"Y","X1",36586,"X0","X0","X3","X20","X1","X9","X1",1234500000,70,1000,3700,1000,1234500000,"Y","Manufacturing",1999,0.0666666666666667,8
"16",3,131,71854.55,556449,115,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","missing","X0","X9","X0",NA,0,NA,0,0,0,"N","Public.Administration",1999,0.4,43.6666666666667
"18",1,20,145.31,11283,1,"No","USA","Single.Location",2009,"N","X0",5750,"X0","X1","X0","X20","X0","X9","X0",715064,0,22,22,22,715064,"N","Transportation...Public.Utilities",1999,0.1,20
"20",1,4,1234.48,7038,1,"No","USA","Branch",NA,"N","X0",12723,"X0","X1","X0","missing","X2","X9","X2",NA,3526,25,0,430,5.7244e+10,"N","Wholesale.Trade",1999,0.233333333333333,4
"21",1,2,0.1,1,1,"No","USA","Single.Location",2007,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",96000,0,1,1,1,96000,"N","Services",1999,0.266666666666667,2
"22",4,480,642393.78,21554794,1,"No","USA","Single.Location",2010,"N","X0",0,"X0","X1","X0","missing","X0","X6","X0",NA,0,2,2,2,0,"N","Services",1999,0.333333333333333,120
"26",3,89,8929.98,39835,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",NA,0,2,0,2,0,"N","Services",1999,0.266666666666667,29.6666666666667
"27",1,50,3427.7,197730,78,"No","USA","Single.Location",2005,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",57000,0,1,1,1,57000,"N","Services",1999,0.2,50
"29",4,73,3998.01,31044,44,"No","USA","Branch",NA,"N","X2",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,12,0,12,0,"N","Services",1999,0.3,18.25
"30",2,36,47826.79,132326,44,"No","USA","HQ",1994,"N","X1",100000,"X3","X0","X3","X20","X1","X9","X2",700737258,434,150,1146,61,4958175000,"N","Manufacturing",1999,0.0666666666666667,18
